HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.ref_exp_1,Input.image_url_1,Input.line_no_1,Answer.better,Answer.id_1,Answer.line_no_1,Answer.understand,Approve,Reject
307FVKVSYRF4ACUA48DN21ERJ0E47D,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:43 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:43 PDT 2015,,,3H7Z272LX77R0A2PWOBNCO36MZ0PL6,A2541C8MY0BYV3,Approved,Mon Oct 19 17:18:55 PDT 2015,Mon Oct 19 17:19:04 PDT 2015,Tue Oct 20 01:19:04 PDT 2015,2015-10-20 08:23:11 UTC,,,9,100% (102/102),100% (102/102),100% (102/102),orange cube right in the middle between the pepper and spoon,https://s3.amazonaws.com/gmmdev/Round+9/Scene_4_Turk.jpg,184,no,object_5,184,yes,X,
307FVKVSYRF4ACUA48DN21ERJ0E47D,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:43 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:43 PDT 2015,,,3ITXP059PWJIICUHLK34REVP5U2SJN,A3RL02A3JRAUS4,Approved,Mon Oct 19 17:19:14 PDT 2015,Mon Oct 19 17:19:31 PDT 2015,Tue Oct 20 01:19:31 PDT 2015,2015-10-20 08:23:12 UTC,,,17,100% (56/56),100% (56/56),100% (56/56),orange cube right in the middle between the pepper and spoon,https://s3.amazonaws.com/gmmdev/Round+9/Scene_4_Turk.jpg,184,no,object_5,184,yes,X,
309D674SHZLU7SAFA4VLQ1CBU3MCBK,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:40 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:40 PDT 2015,,,33LKR6A5KEKC2VRSKV2OXJVPDWJ1TK,A13VIJ7G997ZCY,Approved,Mon Oct 19 17:33:36 PDT 2015,Mon Oct 19 17:33:49 PDT 2015,Tue Oct 20 01:33:49 PDT 2015,2015-10-20 08:38:10 UTC,,,13,100% (155/155),100% (135/135),100% (135/135),The closest cube to the left of the yellow bowl.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_2_Turk.jpg,90,yes,object_5,90,yes,X,
309D674SHZLU7SAFA4VLQ1CBU3MCBK,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:40 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:40 PDT 2015,,,3GDTJDAPVUBQ00LTAJARQFN5XUSM8N,AIUKV0KVALMY6,Approved,Mon Oct 19 17:32:06 PDT 2015,Mon Oct 19 17:32:19 PDT 2015,Tue Oct 20 01:32:19 PDT 2015,2015-10-20 08:33:19 UTC,,,13,100% (102/102),100% (101/101),100% (101/101),The closest cube to the left of the yellow bowl.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_2_Turk.jpg,90,no,object_5,90,yes,X,
309D674SHZLU7SAFA4VLQ1CBU3MCBK,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:40 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:40 PDT 2015,,,3VW04L3ZLT6R9DL5WYOSHVKWV7KXXP,A2WKZI3JQCE3Z6,Approved,Mon Oct 19 17:31:06 PDT 2015,Mon Oct 19 17:31:14 PDT 2015,Tue Oct 20 01:31:14 PDT 2015,2015-10-20 08:33:16 UTC,,,8,100% (90/90),100% (90/90),100% (90/90),The closest cube to the left of the yellow bowl.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_2_Turk.jpg,90,yes,object_5,90,yes,X,
30EV7DWJTVV14JUPA5W2CCI2JQSY6S,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:42 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:42 PDT 2015,,,339ANSOTR52OZIX3YT92ORPFBL0IKK,A13VIJ7G997ZCY,Approved,Mon Oct 19 17:09:54 PDT 2015,Mon Oct 19 17:10:07 PDT 2015,Tue Oct 20 01:10:07 PDT 2015,2015-10-20 08:13:13 UTC,,,13,100% (155/155),100% (135/135),100% (135/135),Pick the rightmost orange cube behind the spoon.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_4_Turk.jpg,164,yes,object_2,164,yes,X,
30EV7DWJTVV14JUPA5W2CCI2JQSY6S,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:42 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:42 PDT 2015,,,3EKVH9QMEY4CARDRH92NXYN82G92DJ,AIUKV0KVALMY6,Approved,Mon Oct 19 17:35:40 PDT 2015,Mon Oct 19 17:35:50 PDT 2015,Tue Oct 20 01:35:50 PDT 2015,2015-10-20 08:38:15 UTC,,,10,100% (102/102),100% (101/101),100% (101/101),Pick the rightmost orange cube behind the spoon.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_4_Turk.jpg,164,no,object_5,164,yes,X,
30EV7DWJTVV14JUPA5W2CCI2JQSY6S,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:42 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:42 PDT 2015,,,3OVHNO1VE612G2G36GB1K9XFNP5ZDL,A2SVNXNMD7E7EH,Approved,Mon Oct 19 17:15:43 PDT 2015,Mon Oct 19 17:16:06 PDT 2015,Tue Oct 20 01:16:06 PDT 2015,2015-10-20 08:18:14 UTC,,,23,100% (79/79),100% (79/79),100% (79/79),Pick the rightmost orange cube behind the spoon.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_4_Turk.jpg,164,yes,object_4,164,no,X,
30EV7DWJTVV14JUPA5W2CCI2JQT6Y1,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:38 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:38 PDT 2015,,,3A9AA95ATWMDYLZ441VGVZ79092P5K,A2WKZI3JQCE3Z6,Approved,Mon Oct 19 17:32:39 PDT 2015,Mon Oct 19 17:32:45 PDT 2015,Tue Oct 20 01:32:45 PDT 2015,2015-10-20 08:33:21 UTC,,,6,100% (90/90),100% (90/90),100% (90/90),orange cube closest to me,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,437,no,object_3,437,yes,X,
30EV7DWJTVV14JUPA5W2CCI2JQT6Y1,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:38 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:38 PDT 2015,,,3O7L7BFSHEPLDI5T27YZQWCARO6EIY,AJPQEZBVJXVE9,Approved,Mon Oct 19 17:31:48 PDT 2015,Mon Oct 19 17:31:55 PDT 2015,Tue Oct 20 01:31:55 PDT 2015,2015-10-20 08:33:18 UTC,,,7,100% (43/43),100% (43/43),100% (43/43),orange cube closest to me,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,437,no,object_3,437,yes,X,
30EV7DWJTVV14JUPA5W2CCI2JQT6Y1,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:38 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:38 PDT 2015,,,3W92K5RLWUHQ35W0QD4F1RWRMX1V59,AIUKV0KVALMY6,Approved,Mon Oct 19 17:20:16 PDT 2015,Mon Oct 19 17:20:24 PDT 2015,Tue Oct 20 01:20:24 PDT 2015,2015-10-20 08:23:14 UTC,,,8,100% (102/102),100% (101/101),100% (101/101),orange cube closest to me,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,437,no,object_3,437,yes,X,
30OITAWPBQ32076YYCVQAME1JVO9HG,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:47 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:47 PDT 2015,,,358UUM7WRZ3DX2T25ME2YELKSXLR7T,AJPQEZBVJXVE9,Approved,Mon Oct 19 17:33:26 PDT 2015,Mon Oct 19 17:34:36 PDT 2015,Tue Oct 20 01:34:36 PDT 2015,2015-10-20 08:38:12 UTC,,,70,100% (43/43),100% (43/43),100% (43/43),orange cube to the left of the syringe,https://s3.amazonaws.com/gmmdev/Round+9/Scene_6_Turk.jpg,276,no,object_4,276,yes,X,
30OITAWPBQ32076YYCVQAME1JVO9HG,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:47 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:47 PDT 2015,,,39LOEL67OS5PEEDJ415CUGEZX3B38O,A3GR74EBCPGKKA,Approved,Mon Oct 19 17:29:01 PDT 2015,Mon Oct 19 17:30:54 PDT 2015,Tue Oct 20 01:30:54 PDT 2015,2015-10-20 08:33:15 UTC,,,113,100% (86/86),100% (86/86),100% (86/86),orange cube to the left of the syringe,https://s3.amazonaws.com/gmmdev/Round+9/Scene_6_Turk.jpg,276,no,object_4,276,yes,X,
30OITAWPBQ32076YYCVQAME1JVO9HG,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:47 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:47 PDT 2015,,,3A4TN5196KI6KPAV0YAJ0WBS6ZBHCC,AENW881YO2H8S,Approved,Mon Oct 19 17:08:13 PDT 2015,Mon Oct 19 17:08:33 PDT 2015,Tue Oct 20 01:08:33 PDT 2015,2015-10-20 08:13:10 UTC,,,20,100% (10/10),100% (10/10),100% (10/10),orange cube to the left of the syringe,https://s3.amazonaws.com/gmmdev/Round+9/Scene_6_Turk.jpg,276,no,object_4,276,yes,X,
30QQTY5GMKK3RAOPJE45F5CLID2U7Q,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:50 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:50 PDT 2015,,,39U1BHVTDLR8CY577ZG7LCAMBGW3TD,A9FCR1QRZAM3U,Approved,Mon Oct 19 17:31:08 PDT 2015,Mon Oct 19 17:31:17 PDT 2015,Tue Oct 20 01:31:17 PDT 2015,2015-10-20 08:33:16 UTC,,,9,100% (143/143),100% (143/143),100% (143/143),please get me the orange cube  closest to you,https://s3.amazonaws.com/gmmdev/Round+9/Scene_I_Turk.jpg,747,no,object_4,747,yes,X,
30QQTY5GMKK3RAOPJE45F5CLID2U7Q,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:50 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:50 PDT 2015,,,3TU5ZICBRD1HLFJL2CH87O7A7VO8QV,A2541C8MY0BYV3,Approved,Mon Oct 19 17:22:20 PDT 2015,Mon Oct 19 17:22:27 PDT 2015,Tue Oct 20 01:22:27 PDT 2015,2015-10-20 08:23:18 UTC,,,7,100% (102/102),100% (102/102),100% (102/102),please get me the orange cube  closest to you,https://s3.amazonaws.com/gmmdev/Round+9/Scene_I_Turk.jpg,747,no,object_4,747,yes,X,
30QQTY5GMKK3RAOPJE45F5CLID2U7Q,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:50 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:50 PDT 2015,,,3XUHV3NRVKYLL41GLONBMQ5IEISH57,A13VIJ7G997ZCY,Approved,Mon Oct 19 17:34:54 PDT 2015,Mon Oct 19 17:35:01 PDT 2015,Tue Oct 20 01:35:01 PDT 2015,2015-10-20 08:38:13 UTC,,,7,100% (155/155),100% (135/135),100% (135/135),please get me the orange cube  closest to you,https://s3.amazonaws.com/gmmdev/Round+9/Scene_I_Turk.jpg,747,no,object_4,747,yes,X,
30Y6N4AHYPWRSRXI6XCMAMZXXP1RDC,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:52 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:52 PDT 2015,,,35USIKEBNRG9E4N5T5STJGGEWPB6NK,A2541C8MY0BYV3,Approved,Mon Oct 19 17:24:31 PDT 2015,Mon Oct 19 17:24:38 PDT 2015,Tue Oct 20 01:24:38 PDT 2015,2015-10-20 08:28:13 UTC,,,7,100% (102/102),100% (102/102),100% (102/102),Pick the orange cube in front of vaseline.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,420,yes,object_1,420,no,X,
30Y6N4AHYPWRSRXI6XCMAMZXXP1RDC,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:52 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:52 PDT 2015,,,37XITHEISW9J9JOYW3MDE0DYT8CRCM,A3GR74EBCPGKKA,Approved,Mon Oct 19 17:34:05 PDT 2015,Mon Oct 19 17:35:31 PDT 2015,Tue Oct 20 01:35:31 PDT 2015,2015-10-20 08:38:15 UTC,,,86,100% (86/86),100% (86/86),100% (86/86),Pick the orange cube in front of vaseline.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,420,no,object_1,420,yes,X,
30Y6N4AHYPWRSRXI6XCMAMZXXP1RDC,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:52 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:52 PDT 2015,,,3EJPLAJKEMG3VT1OWT3NE3NN63K6Z2,AIUKV0KVALMY6,Approved,Mon Oct 19 17:34:10 PDT 2015,Mon Oct 19 17:34:18 PDT 2015,Tue Oct 20 01:34:18 PDT 2015,2015-10-20 08:38:12 UTC,,,8,100% (102/102),100% (101/101),100% (101/101),Pick the orange cube in front of vaseline.,https://s3.amazonaws.com/gmmdev/Round+9/Scene_A_Turk.jpg,420,no,object_1,420,yes,X,
30Z7M1Q8UYKNCFFANEFKT4WMMUHA8I,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:46 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:46 PDT 2015,,,3NL0RFNU0FNURBYOD47YUQFW631K49,A3GR74EBCPGKKA,Approved,Mon Oct 19 17:35:22 PDT 2015,Mon Oct 19 17:39:20 PDT 2015,Tue Oct 20 01:39:20 PDT 2015,2015-10-20 08:43:09 UTC,,,238,100% (86/86),100% (86/86),100% (86/86),it is the orange cube farthest to the right,https://s3.amazonaws.com/gmmdev/Round+9/Scene_G_Turk.jpg,650,no,object_2,650,yes,X,
30Z7M1Q8UYKNCFFANEFKT4WMMUHA8I,3XIJBB7LZ4PYPNUA62IN3K4LBME8QF,Select an object based on a description.,Read a one-line instruction and select the object identified by it. No typing necessary.,"instruction, NLP, language, robot, command",$0.03 ,Mon Oct 19 17:02:46 PDT 2015,3,BatchId:2129303;,1200,28800,Fri Oct 23 17:02:46 PDT 2015,,,3SNVL38CI4SXMFB36JDGDORKYGICKE,AJD3JOWNVDZD1,Approved,Mon Oct 19 17:35:43 PDT 2015,Mon Oct 19 17:36:03 PDT 2015,Tue Oct 20 01:36:03 PDT 2015,2015-10-20 08:38:16 UTC,,,20,100% (13/13),100% (13/13),100% (13/13),it is the orange cube farthest to the right,https://s3.amazonaws.com/gmmdev/Round+9/Scene_G_Turk.jpg,650,no,object_X,650,no,X,
